Time,PlatformId,"Location (Lat, Long, Alt)","Orientation (Heading, Pitch, Roll)",Speed (m/s),FuelReserve,FuelBingo,FuelQuantity,FuelInitial,Name,Side,Domain
20,4,"[-27.484262,152.74418,304.79999]","[2.0448926,0.0,0.0]",61.73333359,0,4082.33137,11495.30206,11521.24631,red4,red,2
20,5,"[-27.437759,152.79063,304.79999]","[2.0334227,0.0,0.0]",61.73333359,0,4082.33137,11495.30206,11521.24631,red5,red,2
20,6,"[-27.512958,153.11202,304.79999]","[-1.8133401,0.0,0.0]",61.73333359,0,4082.33137,11495.30206,11521.24631,red6,red,2
20,7,"[-27.716653,152.89167,304.79999]","[-2.7755681e-17,0.0,0.0]",61.73333359,0,2267.961872,7696.265435,7711.070366,blue1,blue,2
20,8,"[-27.548226,152.68708,304.79999]","[1.3089018,0.0,0.0]",61.73333359,0,2267.961872,7696.240699,7711.070366,blue2,blue,2
21,1,"[-27.367787,153.06866,304.79999]","[-2.5111956,0.0,0.0]",61.73333359,0,4082.33137,11494.02647,11521.24631,red1,red,2
21,2,"[-27.200508,153.07242,304.79999]","[-3.0289155,0.0,0.0]",61.73333359,0,4082.33137,11494.04809,11521.24631,red2,red,2
21,3,"[-27.474453,152.92011,304.79999]","[-3.0862779,0.0,0.0]",61.73333359,0,4082.33137,11494.04809,11521.24631,red3,red,2
21,4,"[-27.484516,152.74474,304.79999]","[2.0448881,0.0,0.0]",61.73333359,0,4082.33137,11494.00485,11521.24631,red4,red,2
21,5,"[-27.438008,152.79119,304.79999]","[2.0334182,0.0,0.0]",61.73333359,0,4082.33137,11494.00485,11521.24631,red5,red,2
21,6,"[-27.513092,153.11142,304.79999]","[-1.8133352,0.0,0.0]",61.73333359,0,4082.33137,11494.00485,11521.24631,red6,red,2
21,7,"[-27.716095,152.89167,304.79999]","[-2.7755681e-17,0.0,0.0]",61.73333359,0,2267.961872,7695.523333,7711.070366,blue1,blue,2
21,8,"[-27.548084,152.68767,304.79999]","[1.3088971,0.0,0.0]",61.73333359,0,2267.961872,7695.510965,7711.070366,blue2,blue,2
22,1,"[-27.368237,153.06829,304.79999]","[-2.5111926,0.0,0.0]",61.73333359,0,4082.33137,11492.72926,11521.24631,red1,red,2
22,2,"[-27.201063,153.07235,304.79999]","[-3.0289149,0.0,0.0]",61.73333359,0,4082.33137,11492.75088,11521.24631,red2,red,2
22,3,"[-27.475009,152.92008,304.79999]","[-3.0862777,0.0,0.0]",61.73333359,0,4082.33137,11492.75088,11521.24631,red3,red,2
22,4,"[-27.484771,152.74529,304.79999]","[2.0448837,0.0,0.0]",61.73333359,0,4082.33137,11492.70764,11521.24631,red4,red,2
22,5,"[-27.438257,152.79175,304.79999]","[2.0334137,0.0,0.0]",61.73333359,0,4082.33137,11492.70764,11521.24631,red5,red,2
22,6,"[-27.513226,153.11081,304.79999]","[-1.8133303,0.0,0.0]",61.73333359,0,4082.33137,11492.70764,11521.24631,red6,red,2
22,7,"[-27.715537,152.89167,304.79999]","[-2.7755681e-17,0.0,0.0]",61.73333359,0,2267.961872,7694.781232,7711.070366,blue1,blue,2
22,8,"[-27.547938,152.68829,304.79999]","[1.3088921,0.0,0.0]",61.73333359,0,2267.961872,7694.756495,7711.070366,blue2,blue,2
23,1,"[-27.368688,153.06793,304.79999]","[-2.5111897,0.0,0.0]",61.73333359,0,4082.33137,11491.43205,11521.24631,red1,red,2
